Project ID Number,Lead_AQMD,n_aqmd_partners,n_county_partners,Agency_Name,Total_Funding,Total_GHG_Reductions,DAC_Funding,cost_per_ton,share_DAC,log_funding,cross_aqmd_collab,high_county_collab,SoCal_AQMD
8GG20625,Colusa,1,1,California Department of Forestry and Fire Protection,1562086,20731,,75.35024842024022,,14.261533305654005,0,0,0
8GG20627,Butte,1,1,California Department of Forestry and Fire Protection,4864360,24595,,197.77841024598496,,15.397445918624065,0,0,0
8GG20630,North Coast Unified,1,1,California Department of Forestry and Fire Protection,1355679,914,,1483.2374179431072,,14.119813731432291,0,0,0
8GG20631,Tehama,1,1,California Department of Forestry and Fire Protection,4999425,27437,,182.21471006305353,,15.42483366380835,0,0,0
8GG20634,North Coast Unified,1,1,California Department of Forestry and Fire Protection,4999716,1182508,,4.228061036373538,,15.424891868796534,0,0,0
8GG20635,Mariposa,1,1,California Department of Forestry and Fire Protection,4421969,48429,,91.30828635734787,,15.302095856115999,0,0,0
8GG20637,Northern Sonoma,1,1,California Department of Forestry and Fire Protection,37000,0,,,,10.518700218288165,0,0,0
8GG20639,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,1374715,165731,,8.29485732904526,,14.133757722294813,0,0,0
8GG20802,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,178503,0,,,,12.09236628891434,0,0,0
8GG20804,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,479643,0,,,,13.08079944104662,0,0,0
8GG20805,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,321764,0,,,,12.681576744418313,0,0,0
8GG20806,Northern Sierra,1,1,California Department of Forestry and Fire Protection,44883,0,,,,10.711836662784757,0,0,0
8GG20807,Bay Area,1,1,California Department of Forestry and Fire Protection,64831,0,,,,11.079554587608355,0,0,0
8GG20808,Yolo-Solano,1,1,California Department of Forestry and Fire Protection,291471,0,,,,12.582699225270611,0,0,0
8GG20809,Yolo-Solano,1,1,California Department of Forestry and Fire Protection,497833,0,,,,13.118021967105552,0,0,0
8GG20810,Mendocino,1,1,California Department of Forestry and Fire Protection,500000,0,,,,13.122365377402328,0,0,0
8GG20811,Monterey Bay Unified,1,1,California Department of Forestry and Fire Protection,499513,0,,,,13.121390904705995,0,0,0
8GG20812,South Coast,1,1,California Department of Forestry and Fire Protection,99863,0,,,,11.511564539330887,0,0,1
8GG20813,Yolo-Solano,1,1,California Department of Forestry and Fire Protection,499999,0,,,,13.122363377404328,0,0,0
8GG20814,Placer,1,1,California Department of Forestry and Fire Protection,100000,0,,,,11.51293546492023,0,0,0
8GG21300,Northern Sierra,1,1,California Department of Forestry and Fire Protection,359714,0,,,,12.793067330232084,0,0,0
8GG21301,El Dorado,1,1,California Department of Forestry and Fire Protection,57759,0,,,,10.964051773566707,0,0,0
8GG21302,Northern Sierra,1,1,California Department of Forestry and Fire Protection,48197,0,,,,10.783072805401867,0,0,0
8GG21304,Placer,1,1,California Department of Forestry and Fire Protection,58406,0,,,,10.97519102464702,0,0,0
8GG21305,Placer,1,1,California Department of Forestry and Fire Protection,360613,0,,,,12.795563413179634,0,0,0
8GG21306,Shasta,1,1,California Department of Forestry and Fire Protection,44919,0,,,,10.71263840885238,0,0,0
8GG21307,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,170051,0,,,,12.04385955161287,0,0,0
8GG21309,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,6822,0,,,,8.828054536815424,0,0,0
8GG21310,Tuolumne,1,1,California Department of Forestry and Fire Protection,4932,0,,,,8.503702601233739,0,0,0
8GG21312,Calaveras,1,1,California Department of Forestry and Fire Protection,55957,0,,,,10.932356688326582,0,0,0
8GG21313,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,99729,0,,,,11.510221813395914,0,0,0
8GG21314,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,75083,0,,,,11.226362765786364,0,0,0
8GG21315,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,172782,0,,,,12.05979175088287,0,0,0
8GG21316,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,145391,0,,,,11.887188821935128,0,0,0
8GG21317,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,68693,0,,,,11.137417138151868,0,0,0
8GG21318,North Coast Unified,1,1,California Department of Forestry and Fire Protection,22977,0,,,,10.04229251541331,0,0,0
8GG21319,El Dorado,1,1,California Department of Forestry and Fire Protection,243270,0,,,,12.401931327257202,0,0,0
8GG21320,Northern Sierra,1,1,California Department of Forestry and Fire Protection,210371,0,,,,12.256632671141874,0,0,0
8GG21321,Placer,1,1,California Department of Forestry and Fire Protection,104191,0,,,,11.553990629922158,0,0,0
8GG21322,Placer,1,1,California Department of Forestry and Fire Protection,135918,0,,,,11.819814399049767,0,0,0
8GG21323,Lassen,1,1,California Department of Forestry and Fire Protection,44800,0,,,,10.709985739582528,0,0,0
8GG21325,Shasta,1,1,California Department of Forestry and Fire Protection,8230,0,,,,9.015662792972645,0,0,0
8GG21326,Siskiyou,1,1,California Department of Forestry and Fire Protection,30619,0,,,,10.329408669211675,0,0,0
8GG21327,Calaveras,1,1,California Department of Forestry and Fire Protection,104477,0,,,,11.556731801907437,0,0,0
8GG21329,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,38348,0,,,,10.55448373083613,0,0,0
8GG21330,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,43888,0,,,,10.689418998189405,0,0,0
